anchor,positive
"What is Ghana's twenty-four-hour economy initiative, and how does it relate to the global green transition market?","Mɛni ji Ghana ŋmɛlɛtswai nyɔŋmai enyɔ kɛ ejwɛ shika helɛtemɔ he gbɛjianɔtoo lɛ, ni te ekɛ jeŋ muu fɛɛ ŋmɔshi nibii tsakemɔ jarayeli lɛ yɔɔ tsakpaa ha tɛŋŋ?"
How much would everything cost?,What is the cost of everything?
The agricultural sector was allocated a lot of money.,Wɔkyekyɛɛ kuayɛ adwuma no sika pii.
Nice to meet you.,Good to meet you.
There is a specific amount of money we are supposed to pay every month.,Sika pɔtee bi wɔ hɔ a ɛsɛ sɛ yɛtua no bosome biara.
Hello,Hey there.
"Segregation too was rising as payments, rent ,and meals weren't equally distributed by contractors.","na mpaapaemu nso rekɔ soro bere a na adwumayɛfo a wɔyɛ adwuma wɔ hɔ no nkyekyɛ sikatua, dan ka ,ne aduan pɛpɛɛpɛ no."
I'm trying to understand more about HIV-one and HIV-two point  wattshat are the key differences between these two types of viruses?,Miibɔ mɔdɛŋ ni manu hiv-one kɛ hiv-two lɛ shishi babaoo mɛni ji srɔtofeemɔi titrii ni yɔɔ nɛkɛ helai enyɔ nɛɛ ateŋ?
What's the current state of food prices in Ghana?,Mɛni ji niyenii jara shihilɛ ni yɔɔ Ghana amrɔ nɛɛ?
Sorry to bother you.,I don't mean to bother you.
"The kingdom has a diverse selection of foods. Common foods are Sa-am (Tuozaafi), Sakoro (pounded yam), Tuya (rice and beans), Tubani, Gablee, wasawasa, yaankahanda, yaanmonda, yaankikalli, and others.","Ahennie no sane wɔ fa bi a ɛyɛ nnuane ahodoɔ nyinna bi. Nnuane a abu so no binom ne Sa-am (Tuozaafi), Sakoro (bayerɛ a wɔawɔ), Tuya (ɛmo ne adua), Tubani, Gablee, wasawasa, yaankahanda, yaanmonda, yaankikalli, ne deɛ ɛkeka ho."
I understand.,I understand you.
The food was distributed to the erderly and the vulnerable only.,Wɔkyekyɛɛ nnuane no mmaa wɔn a wɔn mfeɛ akɔ anim ne ahiafoɔ nko ara.
"My friends, my sisters, my aunts, my mothers","x$nyewo, nɔɖinyewo, n;lonyewo"
I've been reading about pesticide residues in fruits and vegetables. Can you tell me more about the risks associated with consuming these contaminated foods?,Mikane tsofai ni gbeɔ kooloi ni yɔɔ aduawai kɛ aduawai amli lɛ ahe saji. Ani obaanyɛ okɛɛ mi osharai ni yɔɔ niyenii ni mli ewo muji nɛɛ ni ayeɔ lɛ he babaoo?
Can you give me today's price?,Pouvez-vous me donner le prix d'aujourd'hui ?
The swimmer gracefully glided through the water. He completed each stroke with precision.,Asudwareni no yɛɛ adom faa nsuo no mu. Ɔwiee ɔhweɛ biara pɛpɛɛpɛ.
Safe travels.,Gbɛfaa ni yɔɔ shweshweeshwe.
You're welcome here.,Make yourself at home.
What are the sources of opportunities in the global market for the cable and wire manufacturing firms in Ghana?,Mɛni ji hegbɛi ni yɔɔ jeŋ muu fɛɛ jarayeli mli kɛha nitsumɔhei ni feɔ waya kɛ waya yɛ Ghana lɛ jɛɛhei?
The district leader has employed a new watchman in the market.,Ɔpanin a ɔda Mansini no ano no afa awɛmfoɔ sɛ wɔnnwɛn edwa no.
What is the Tema Port Expansion Project and how much did it cost?,Tema ŋshɔkpɔ lɛ nɔ lɛlɛdaamɔhe lɛ mlilɛɛmɔ nitsumɔ lɛ ji shika enyiɛ ni shika enyiɛ akɛtsu nii?
I've heard that the use of modern family planning methods is increasing in some African countries. Can you tell me more about this trend?,Minu akɛ ŋmɛnɛŋmɛnɛ beaŋ gbɛi ni atsɔɔ nɔ atoɔ weku he gbɛjianɔ lɛ miiya hiɛ waa yɛ Afrika maji komɛi amli. Ani obaanyɛ okɛɛ mi nibii babaoo yɛ nɛkɛ nifeemɔ nɛɛ he?
Fish farms should be constructed near water sources.,Ɛsɛ sɛ wosi Nsuomu nam adwuma a ben nsu a ano yɛ.
What makes Ghana's payment system unique in Africa?,Mɛni haa Ghana nyɔmɔwoo gbɛjianɔtoo lɛ feɔ nɔ ni yɔɔ srɔto kwraa yɛ Afrika?
Hi,Hi there
I don't understand.,I do not understand you.
I read that the administrator of Common Fund has been borrowing to pay District Assemblies. Can you confirm this and explain the situation?,Mikane akɛ maŋ shikatoohe lɛ nɔkwɛlɔ lɛ miifa shika koni ekɛwo kpokpaa nɔ kpeei ahe nyɔmɔ. Ani obaanyɛ oma enɛ nɔ mi ni otsɔɔ shihilɛ lɛ mli?
The government needs to buy more land from people to help improve agriculture.,Ɛsɛ sɛ aban no totɔ nsase bebree firi nkurɔfoɔ hɔ de boa ma kuayɔ tu mpɔn
"The children came every morning from 10 a.m. to 12 p.m., and afternoons from 2 p.m. to 5 p.m.,",ɖeviawo va na ŋdi sia ŋdi tso 10h yi 12h eye tso 14h yi 17h le ɣetrɔ me
I heard that SIC Insurance PLC paid a large insurance claim to VRA. Can you tell me more about this?,Mi nu akɛ SIC Insurance PLC lɛ wo inshuɔrans he nyɔmɔ babaoo eha VRA. Ani obaanyɛ okɛɛ mi enɛ he saji babaoo?
Have a seat.,Please take a seat
Thanks for your help.,Thanks for helping me out.
Drivers stop at fuel stations to buy fuel for their vehicles.,Karkafo gyina mmeae a wɔtɔn pɛtro kɔtɔ pɛtro ma wɔn kar ahorow.
What can you tell me about the relationship between market risk and profitability in the context of the Asset Liability Committee (ALCO) of a bank in Ghana?,Mɛni obaanyɛ okɛɛ mi yɛ wekukpaa ni yɔɔ jarayeli mli osharai kɛ sɛɛnamɔ ni anáa lɛ teŋ kɛjɛ Asset Liability Committee (ALCO) ni yɔɔ Ghana lɛ susumɔ mli?
I admit that I was amazed by what is being done at Baby Lab and what will still be done thanks to donations from the Orange foundation.,nusiwo wole wɔwɔm nyo eye egayi edzi kple nunana sia
Some districts do not have access to clean water.,Amansin bi nni nsu pa.
I've been reading about the levels of heavy metals in fish species in Ghana. Can you tell me more about the risks associated with consuming these fish?,Mikaneɔ bɔ ni dade ni tsii ni yɔɔ loo henɔi ni yɔɔ Ghana lɛ amli lɛ fa ha lɛ he sane. Ani obaanyɛ okɛɛ mi osharai ni yɔɔ loo nɛɛ yeli he babaoo?
I heard that there's a new law being proposed in Nigeria to change the way people pay rent. Can you tell me more about it?,Mi nu akɛ awo mla hee ko yɛ Nigeria ni baa tsake bɔ ni gbɔmɛi woɔ amɛ shĩa nyɔmɔ amɛhaa lɛ. Ani obaanyɛ okɛɛ mi ehe saji babaoo?
"Mariko, please stop killing animals like you do.","Mariko, dzudzɔ lãwo wuwu alea."
I'm trying to understand the concept of random walk hypothesis in the context of stock prices. Can you explain it to me?,Miibɔ mɔdɛŋ ni manu shishinumɔ ni ji random walk hypothesis lɛ shishi yɛ nibii ahe jara he. obaanyɛ otsɔɔ mi mli
"""To say that a student doesn't need anything other than Office is to misunderstand their needs.""",mienyaa sukukɔkɔdela ƒe hihiãwo tae miegblɔa be womehiã naɖeke to vovo na Office o
How much money does the Electricity Company of Ghana (ECG) need to operate efficiently each month?,Shika enyiɛ he hiaa ni Ghana La He Nitsumɔhe (ECG) lɛ atsu nii jogbaŋŋ daa nyɔŋ nɔ?
Safe travels.,Safe journey home.
I'm interested in learning about the different types of pepper varieties produced in the Ashanti Region of Ghana. Can you tell me more about the varieties mentioned in the research article?,Miyɛ he miishɛɛ akɛ makase ŋmeii srɔtoi ni aduɔ yɛ Ashanti kpokpaa ni yɔɔ Ghana lɛ nɔ lɛ ahe nii. Ani obaanyɛ okɛɛ mi kooloi srɔtoi ni atsĩ tã yɛ niiamlitaomɔ wolo lɛ mli lɛ ahe saji babaoo?
I heard the National Health Insurance Levy has been uncapped. What does this mean and how much money is expected to be raised?,Mi nu akɛ awoko maŋ lɛ helatsamɔ he inshuɔrans Levy lɛ. Mɛni enɛ tsɔɔ kɛ shika enyiɛ akpaa gbɛ akɛ abaabua naa?
I came across the name Brenda Antwi Donkor while reading about Ghanaian TV productions. Can you tell me more about her?,"Beni mikaneɔ Ghana TV nɔ nibii ni ajieɔ lɛ ahe saji lɛ, mikɛ gbɛi ni ji Brenda Antwi Donkor lɛ kpe. Ani obaanyɛ okɛɛ mi ehe saji babaoo?"
Sorry to bother you.,Sorry to disturb you.
Please come in.,"Come in, please."
Is this the final price?,Is that the last amount?
Every family should think about starting its own business.,Ɛsɛ sɛ abusua biara dwen ho sɛ wobehyɛ wɔn ankasa nnwuma ho dwuma.
Agents can immediately access money from the bank to meet customer demands.,Adwuma bi nanmusifoɔ betumi anya sika afi sikakorabea hɔ ntɛm ara de adi adetɔfo ahiade ho dwuma.
Some village youths have resorted to pushing travelers through the mud for quick money.,Akuraa ase mmabun binom de wɔn ho ahyɛ akwantufo a wɔbɛpia wɔn afa atɛkyɛ mu so de anya sika ntɛm
She was imprisoned for failing to pay the loan.,Wɔde no too afiase esiane sɛ wantua bosea no.
Hi,Salut
"What percentage of women in several African countries, including Ghana, are using modern family planning methods postpartum?","Yei oha mlijaa enyiɛ ni yɔɔ Afrika maji srɔtoi anɔ, ni Ghana fata he lɛ kɛ ŋmɛnɛŋmɛnɛ beaŋ weku gbɛjianɔtoo gbɛi tsuɔ nii yɛ fɔmɔ sɛɛ?"
Please come in.,Go ahead and come in.
I haven't had a pay raise in three years.,"Mfe abiɛsa ni a, minnyaa akatua a ntumuu."
The water spirits of this place are called “mousous”.,Woyɔa teƒe ma ƒe tɔmevoduawo be Mamiwo.
What are some internal factors that can influence the market orientation of a firm?,Mɛni ji nibii komɛi ni yɔɔ mli ni náa nitsumɔhe ko jarayeli gbɛ nɔ hewalɛ?
"Some project leaders involved in construction projects were found to have embezzled the allocated funds, falsely claiming to have sent the funds using mobile money transactions.","Wohui sɛ adwuma no akannifo binom a wɔde wɔn ho hyɛɛ adansi adwuma mu no sɛee sika a wɔde ama no, na wodii atoro kae sɛ wɔde sika a wɔde di dwuma wɔ telefon so na ɛde sika no kɔmaa wɔn."
The customers are few ever since the tax was introduced.,"Fi bere a wɔde tow no bae no, adetɔfo no sua."
The doctor encouraged us to eat fruits and vegetables.,Dɔkotafoɔ no hyɛɛ yɛn nkuran sɛ yɛnni nnuabe ne atosodeɛ
comment * name * I have too often been criticized for criticizing and doing nothing other than criticizing what is decided in Chad.,comment * name wogblɔa nam be nyemewɔa naneke wu be matsitre ɖe nyametsotso siwo katã wowɔa le Tchad le ŋu o
"It is in the family that values ​​are instilled in them from the first years of their life which should serve as a reference for them. """,wogbesese na dzi dzea eme nam
"As a family, we opened up a group savings account in the bank.","Sɛ́ abusua no, yebuee kuw bi a wɔde sie sikakorabea wɔ sikakorabea."
You're welcome here.,You are always welcome here
Mothers should feed on good food and sleep under a treated mosquito net and go for antenatal care.,Ɛsɛ sɛ ɛnanom di aduan pa na wɔda ntontom adan a wɔayɛ no ase na wɔkɔhwɛ wɔn ho wɔ awo akyi..
I'm interested in learning more about food safety in Ghana. What are some common sources of foodborne illnesses in the country?,Miyɛ he miishɛɛ akɛ makase niyenii ni yɔɔ Ghana lɛ he nii babaoo. Mɛni ji nibii komɛi ni fɔɔ helai ni jɛɔ niyenii mli baa yɛ maŋ lɛ mli lɛ?
How much does this cost?,How much money does this cost?
I was asked to pay for drugs at the health center.,Wɔka kyerɛɛ me sɛ mintua nnubɔne ho ka wɔ akwahosan asoɛe hɔ.
I'm trying to understand the concept of logistic regression in the context of a research study. Can you explain how it's used in the Ghana Child Labour Survey?,Miibɔ mɔdɛŋ ni manu shishinumɔ ni ji logistic regression lɛ shishi yɛ niiamlitaomɔ nikasemɔ ko mli. Ani obaanyɛ otsɔɔ bɔ ni akɛtsuɔ nii yɛ gbekɛbii anitsumɔ he nikasemɔ mli yɛ Ghana lɛ mli?
I've been reading about water quality in Ghana. What are some of the main issues with uncovered wells in Ghana?,Mikane nu ni yɔɔ Ghana lɛ he sane. Mɛni ji saji titrii komɛi ni kɔɔ nubui ni ajieee nɔ ko nɔ yɛ Ghana lɛ ahe?
How much money was generated from COVID-nineteen testing at the Kotoka International Airport between September and December two thousand and twenty?,Shika enyiɛ ana kɛjɛ Kotoka Jeŋmaji Ateŋ Kɔɔyɔŋ Lɛlɛdaamɔhe lɛ yɛ Gbo kɛ Alemle 2019 teŋ kɛjɛ Covid-19 kaa lɛ mli?
Can you tell me the price?,What's the price?
Schools should provide food for all children at school.,ɛsɛ sɛ sukuu ahodoɔ ma mmofra nyinaa aduan wɔ sukuu mu.
Do you have a price list?,Do you have a list of prices?
Thank you for coming.,Merci d'être venu.
So see you at Day 18 in shaa Allah,miado go le ŋkeke 18 lia gbee ne allah lɔ ko
"I read an article about Richard Quaye, the founder and board chairman of Bills Microcredit, who bought a private jet. What inspired him to make this purchase?","Mikane sane ko ni kɔɔ Richard Quay, ni ji Bills Microcredit nitsumɔhe lɛ shishitolɔ kɛ sɛinɔtalɔ, ni he tsɔne ni akɛyaa ŋwɛi lɛ he lɛ he. Mɛni tsirɛ lɛ ni ehé nii nɛɛ?"
Can I know the price first?,Puis-je connaître le prix d'abord ?
"What are the critical barriers to Tender Price Index development in Ghana, and how were they ranked?",Mɛni ji gbɛtsii nii ni he hiaa waa ni tsiɔ tender price index lɛ naa yɛ Ghana kɛ bɔ ni asusuɔ amɛhe ahaa?
No.,"No, not that."
I heard that Ghana has a significant issue with water quality. Can you tell me more about it?,Minu akɛ Ghana yɛ naagba wulu ko yɛ nu he. Ani obaanyɛ okɛɛ mi ehe saji babaoo?
I heard there was a severe accident at Anyaa Market in Accra on Thursday morning. Can you tell me what happened?,Minu akɛ oshara ko ni naa wa ba yɛ Anya jarayelihe ni yɔɔ Accra lɛ Hɔɔ leebi. Ani obaanyɛ okɛɛ mi nɔ ni ba?
"Could you repeat that, please?",Taflatse àte ŋu agbugbɔ nya ma agblɔ?
Can you explain the process of collecting water samples in the Ghanaian research study?,Ani obaanyɛ otsɔɔ bɔ ni abuɔ nu mli saji anaa yɛ niiamlitaomɔ nikasemɔ ko ni afee yɛ Ghana lɛ mli?
I am a trader.,Asitsalae menye.
What's the cost of all these?,How much is the total?
Money should be used for its intended purpose.,Ɛsɛ sɛ wɔde sika di dwuma a wɔahyɛ sɛ wɔmfa  nyɛ.
Some people can't afford to buy indoor sprays.,Nnipa binom ntumi ntɔ nnuru a wɔde petepete dan mu.
What are the latest developments in the controversy surrounding the alleged aircraft involved in drugs and money laundering?,Mɛni ji nɔ hee yɛ sanegbaa ni kɔɔ kɔɔyɔŋ lɛlɛi ni akɛɛ amɛkɛ amɛhe woɔ tsofai fɔji kɛ shika ni akɛtsuɔ nii yɛ gbɛ ni ejaaa nɔ lɛ he lɛ mli?
How much are you selling this for?,What price are you selling this at?
See you tomorrow.,À demain.
I saw a viral image of a price hike for kidney dialysis at Korle-Bu Teaching Hospital. Has the hospital actually increased the cost of dialysis?,Mina mfoniri ko ni gbɛ eshwa ni tsɔɔ bɔ ni tsofa ni akɛwoɔ tsitsi mli lɛ jara etee hiɛ yɛ Korle-Bu Nitsɔɔmɔ Helatsamɔhe lɛ. Ani helatsamɔhe lɛ eha shika ni akɛwoɔ lá mli lɛ etee hiɛ diɛŋtsɛ?
But I wouldn't pity her because it's for such challenges that intelligent people get up every morning.,anɔ abe ɣleti ɖeka enye esi si Tchad ƒe nyakaka dudɔnunɔla kpem va egbɔe
They banned the movement and sale of animals and their products in the markets.,Wɔtwaa mmoa nanteɛ ne wɔn tɔn ne wɔn nam wɔ dwa no mu.
People who cut down trees were fined because they should understand the significance of trees in the environment.,Wɔbɔɔ nnipa a wɔtwitwaa nnua no ka ɛfiri sɛ ɛsɛ sɛ wɔte deɛ nnua ho hia wɔ beaeɛ a yɛte no ase.
What is the Ghana Hotel Association suing GHAMRO and ARSOG for?,Mɛni hewɔ Ghana Hotel Kuu lɛ kɛ GHAMRO kɛ ARSOG miiwo kojomɔhe lɛ?
I'm interested in learning more about irrigation farming in Ghana. Can you tell me what the study found to be the main challenge faced by irrigation farmers in terms of market information?,Miyɛ he miishɛɛ akɛ makase okwaayeli ni akɛ nu shwieɔ nɔ yɛ Ghana lɛ he nii babaoo. Kɛɛmɔ mi mɛni ji kaa titri ni okwaafoi ni akɛ nu shwieɔ amɛnɔ lɛ kɛkpe yɛ nikasemɔ lɛ mli yɛ jarayeli he saji ahe?
How much does it cost to start a fish farm?,Ɛka ahe na wɔbɔ na wɔafi mpataa afuw ase?
How much are you selling this for?,What's your price?
Can you explain the market dynamics of egg sales in Ghana compared to poultry meat sales?,Ani obaanyɛ otsɔɔ bɔ ni jarayeli nibii ni kɔɔ ŋshɔŋlooi ni ahɔ̃ɔ kɛ tsina loo ni ahɔ̃ɔ yɛ Ghana lɛ yaa nɔ ehaa lɛ mli?
And you?,And how are you?
How can I assist you today?,Aleke mate ŋu akpe ɖe ŋuwò egbea?
I'm interested in learning more about the demand for local rice in Ghana. Can you explain how the price of local rice affects its demand?,Miyɛ he miishɛɛ akɛ makase bɔ ni maŋ lɛ mli ŋmãa biɔ yɛ Ghana lɛ he nii babaoo. Ani obaanyɛ otsɔɔ bɔ ni maŋ lɛ mli ŋmãa jara saa nibii ni ataoɔ lɛ ahe ehaa lɛ mli?
What is the moisture content of fresh tomato fruit?,Mɛni ji ŋmɔtɔ ni yɔɔ tomato aduawai heei amli?
What is Nana Ohene Ntow's opinion on the Legislative Instrument (L.I) aimed at regulating cement prices in Ghana?,Mɛni ji Nana Ohene Nto susumɔ yɛ Mla He Nibii (LI) ni yiŋtoo ji ni akudɔ simenti jara yɛ Ghana lɛ he?
Swindle is to get money dishonestly from someone by cheating or deceiving them.,Nsisi ne sɛ wubenya sika afi obi hɔ wɔ nokwaredi mu denam nsisi anaa nnaadaa a wobɛdaadaa no so.
"Please enlighten me on the subject,",meɖekuku be miakɔ nya sia me nam
My friend makes chalk and supplies it to schools.,M’adamfo no yɛ kyerɛwboba na ɔde ma sukuu ahorow.
I am from Accra.,Ejɛ Ga
"There was no question of him abandoning some of his habits to please his wife,",mele nae be woaɖe asi le eƒe agbenɔnɔ ɖewo ŋu be yeado dzidzɔ na srɔ̃a o
There is always misappropriation of money whenever the people do not follow up on the expenditures.,Berɛ biara wɔyɛ sika no basabasa berɛ a nkurɔfoɔ no amfa sika ho nhyehyɛeɛ a wɔayɛ no anyɛ adwuma.
I'm trying to understand the process of detecting antibodies in a lab setting. Can you explain the general steps involved in the test?,Miibɔ mɔdɛŋ ni manu gbɛ ni atsɔɔ nɔ anaa tsofai ni gbeɔ helai yɛ laboratori lɛ mli lɛ shishi. Ani obaanyɛ otsɔɔ gbɛi ni atsɔɔ nɔ atsuɔ nii yɛ kaa lɛ mli lɛ mli?
Some people are fond of borrowing even when they cannot pay.,Nnipa binom ani gye boseabɔ ho bere mpo a wontumi ntua.
The chief administrative officers will monitor the process of giving money to elders.,Aban mpanyimfo mpanyimfo no bɛhwɛ ɔkwan a wɔfa so de sika ma mpanyimfo no so.
People have a ready market for agricultural produce.,Nkorɔfoɔ wɔ dwa ma wɔn kuayɛ nnoɔma.
Customer care is key for businesses that are to last long in the market.,Adetɔfo hwɛ yɛ ade titiriw ma nnwuma a ɛsɛ sɛ ɛtra hɔ kyɛ wɔ gua so.
I'm trying to understand the concept of reliability in research. Can you explain the two primary approaches to assessing reliability of constructs?,Miibɔ mɔdɛŋ ni manu shishinumɔ ni ji hekɛnɔfɔɔ yɛ niiamlitaomɔ mli lɛ shishi. Ani obaanyɛ otsɔɔ gbɛi titrii enyɔ ni atsɔɔ nɔ akwɛɔ bɔ ni anyɛɔ akɛ he fɔ̃ɔ nibii ni ama lɛ anɔ lɛ mli?
People earn money from tenants in form of rent.,Nkorɔfoɔ nya sika firi wɔn a ɛbɛhan wɔn da ho sɛ wɔde dan no han a.
I heard that Ghana received a significant amount of money from the IMF. Can you tell me more about this?,Mi nu akɛ Ghana enine eshɛ shika babaoo nɔ kɛjɛ IMF lɛ dɛŋ. Ani obaanyɛ okɛɛ mi enɛ he saji babaoo?
Some people never want to pay off their debts.,Nnipa binom mpɛ sɛ wobetua wɔn ka da.
Living without clean water for a couple of days can lead to complaints by the people.,"Sɛ obi tena ase a nsu pa nni hɔ nna kakra a, ebetumi ama nkurɔfoɔ no anwiinwii."
"What is customer service, and why is it important for businesses?",Mɛni ji mɛi ni heɔ nii lɛ anitsumɔ ni mɛni hewɔ ehe hiaa yɛ jarayeli mli lɛ?
Feel free to look around.,Take a look around
I understand.,I get it.
"Failure to follow the standard operating procedures can lead to the closure of the market, emphasizing the importance of adhering to guidelines for public safety.","Sɛ wɔanni nhyehyɛe a wɔde yɛ adwuma no so a, ebetumi ama wɔato gua no mu, na eyi si hia a ɛho hia sɛ wodi akwankyerɛ ahorow a ɛfa ɔmanfo ahobammɔ ho so no so dua."
How are you?,Efɔ̃a?
Good to see you again.,Nice seeing you again.
Hi,"Hi, how are you?"
How much per basket?,What's the price per basket?
What is the main objective of the study on digitalization in the agri-food industry in Ghana?,Mɛni ji oti titri ni yɔɔ nikasemɔ ni kɔɔ dijitaal nibii ahe yɛ agri-food nitsumɔhe ni yɔɔ Ghana lɛ sɛɛ?
I'm interested in learning about the research on rice accessions in Ghana. Can you tell me about the SSR markers used in the study?,Miyɛ he miishɛɛ akɛ mafee niiamlitaomɔ yɛ ŋmãa ni anáa yɛ Ghana lɛ he. Ani obaanyɛ okɛɛ mi SSR kadimɔi ni akɛtsu nii yɛ nikasemɔ lɛ mli lɛ he sane?
More people now have access to clean water than before.,Mprempren nnipa pii nya nsu pa sen kan no.
How much is this?,Can you tell me the price?
Yes.,"Yes, correct."
I'm interested in learning more about Roselle plants. What parts of the plant are typically harvested and used as vegetables?,Miyɛ he miishɛɛ akɛ makase Roselle tsei lɛ ahe nii babaoo. Mɛɛ tsei ahe nibii afɔɔ kpamɔ ni akɛtsuɔ nii akɛ aduawai?
Nice to meet you.,Great meeting you.
The elders use the money to pay their medical bills.,Mpanimfoɔ no de saa sika no tua wɔn ayarehwɛ ho aka
The market for food items is readily available.,Adwadie a ɛfa aduane ho no nso kɔ so berɛ nyinaa.
Good evening,"Good evening, boss."
What are you looking for?,What would you like to find?
Good evening,Evening
Hi,Alekee
What was the Producer Price Inflation rate in October two thousand and twenty-four inches Ghana?,Mɛni ji nibii ni afee lɛ ahe jara ni tee hiɛ yɛ Ghana yɛ October 2014?
Good morning,"Good morning, boss."
What is the Ghana National Fire Service doing to promote fire safety in markets?,Mɛni Ghana Maŋ La He Nitsumɔhe lɛ miifee koni ekɛwo la he shweshweeshwefeemɔ he hewalɛ yɛ jarayeli hei?
What is your name?,What's your name?
We were requested to condole with the family of the deceased.,Wɔsrɛɛ yɛn sɛ yɛnkyekye owufoɔ no abusuafoɔ werɛ.
I heard there's a new market opening in Accra. What's the current status of the Pedestrians Shopping Mall?,Minu akɛ agbele jarayelihe hee ko naa yɛ Accra. Mɛni ji gbɛfalɔi ashwapo lɛ shihilɛ amrɔ nɛɛ?
I heard about a capital market quiz competition for students in Ghana. Can you tell me more about it?,Minu maŋtiase jarayeli he sanebimɔ akaŋshii ko ni akɛhaa skulbii ni yɔɔ Ghana lɛ he. Ani obaanyɛ okɛɛ mi ehe saji babaoo?
A new toilet is under construction at the old taxi park.,Wɔresi tiafi foforo wɔ taksi gyinabea dedaw no.
I'm interested in learning more about the research on tomato cultivation in Ghana. Can you tell me about the effects of potassium magnesium chloride on tomato growth?,Miyɛ he miishɛɛ akɛ makase nii babaoo yɛ tomato feemɔ he niiamlitaomɔ he yɛ Ghana. Ani obaanyɛ okɛɛ mi bɔ ni potassium magnesium chloride lɛ tsuɔ nii ehaa yɛ tomato dalɛ nɔ lɛ he sane?
I'm trying to understand how markets work in Ghana. Can you explain what a Bilateral Monopolist Market is?,Miibɔ mɔdɛŋ ni manu bɔ ni jarayeli hei tsuɔ nii yɛ Ghana lɛ shishi. Ani obaanyɛ otsɔɔ nɔ ni jarayeli ni ji binary monopolist lɛ ji?
Good afternoon,Good afternoon to you.
Thank you for coming.,Thanks for visiting
I'm interested in learning more about the insect pests that affect okra and tomato crops in Ghana. Can you tell me about the types of pests that were identified in a recent study?,Miyɛ he miishɛɛ akɛ makase kooloi ni yeɔ okra kɛ tomato ŋmɔshi nibii anɔ yɛ Ghana lɛ ahe nii babaoo. Ani obaanyɛ okɛɛ mi tsɛŋemɔ helai ahe nibii ni ana yɛ nikasemɔ ko ni afee nyɛsɛɛ nɛɛ mli lɛ ahe sane?
The person dealing in money must be very integral.,Ɛsɛ sɛ onipa a ɔde sika di gua no yɛ obi a ɔyɛ ade titiriw.
What research design did the study on the effect of exchange rates volatility on stock prices use?,Mɛɛ niiamlitaomɔ gbɛjianɔtoo nikasemɔ lɛ pɛi bɔ ni shika tsakemɔ ni tsakeɔ lɛ saa shika ni akɛtsuɔ nii lɛ jara he lɛ mli?
Welcome,"Welcome, please come in"
"Could you repeat that, please?","Pourriez-vous répéter, s'il vous plaît?"
The students do some bricklaying to get money for school fees.,Asukuufoɔ no yɛ birikisi adwuma binom de nya sika ma sukuu feese.
- I understand,Mese wonyaa gɔme
What's the price of this item?,Can I know the price?
I heard that the Tema Traditional Council is planning to ban expensive funerals. What's behind this decision?,Minu akɛ Tema Kusum Kuu lɛ miiya ni eyagu gbohiiashitee ni jara wa. Mɛni ji nɔ ni hɔ yiŋkpɛɛ nɛɛ sɛɛ?
How may I help you?,Comment puis-je vous aider ?
I'm interested in learning about biogas projects in Nigeria. Can you tell me about the economic evaluation of a family-sized biogas project in Nigeria?,Miyɛ he miishɛɛ akɛ male biogas nitsumɔi ni yɔɔ Nigeria lɛ ahe nii. Ani obaanyɛ okɛɛ mi shika helɛtemɔ mlipɛimɔ ni kɔɔ weku mli biogas nitsumɔ ko ni yɔɔ Nigeria lɛ he?
He was arrested and taken to prison until the debt was paid.,Wɔkyeree no de no kɔɔ afiase kosii sɛ wotuaa ɛka no.
I'm trying to understand the factors that affect the profitability of commercial banks in Ghana. Can you explain the internal factors?,Miibɔ mɔdɛŋ ni manu nibii ni saa jarayeli shikatoohei ni yɔɔ Ghana lɛ ahe lɛ shishi. Ani obaanyɛ otsɔɔ shihilɛi ni yɔɔ mli lɛ amli?
The cola bag rots completely from one bad kola nut slipping in or being slipped into it.,gorosako la gblẽna kemkem ɖe goro gbegblẽ ɖeka si me eme la ta
How may I help you?,How can I be of assistance?
What is the government's plan to address illegal mining activities on water bodies in Ghana?,Mɛni ji gbɛjianɔtoo ni nɔyeli lɛ eto koni ekɛtsu shika tsuru ni ajieɔ yɛ Ghana nui amli yɛ gbɛ ni ejaaa nɔ lɛ he nii?
How much would everything cost?,What's the total cost for everything?
A new tax has been imposed on mobile money transactions.,Wɔde tow foforo ahyɛ telefon so sika a wɔde di dwuma ho.
His ‘cash talk’ earns him both admirers and critics,esiae nye nusɔsrɔ̃ nyuitɔ si ŋu mi kple eve miekpɔ dzidzɔ le
There was poor accountability of the food relief that was distributed.,Waɔmmu nnuane a wɔkyekyɛeɛ no ho akontaa yie.
Clean water is safer and better for use.,Nsu a ɛho tew yɛ nea ahobammɔ wom na eye sɛ wɔde bedi dwuma
"Dibahou is the paébou, the court chief of his family,",Dibahou nye paébou  tatɔ na eƒe ƒomea
The organization paid one millioncedis as a partner for the beauty pageant.,adwumakuo no tuaa ɔpepem biako sɛ ɔhokafo maa ahoɔfɛ akansi no.
How much would everything cost?,What's the grand total?
What's your best price?,Dɛn ne wo bo a eye sen biara?
I heard that KNUST's Food Laboratory has achieved a significant milestone. Can you tell me more about it?,Mi nu akɛ KNUST niyenii he nitsumɔhe lɛ eshɛ he ko ni da waa. Ani obaanyɛ okɛɛ mi ehe saji babaoo?
The government is trying to reduce on the costs of providing clean water.,Aban no rebɔ mmɔden ɔbɛte ka a wɔbɔ ansa na wɔatumi atu nsuo a ɛyɛ papa no so
